state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
Illinois,IL,2018,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,368.48,363.83,4.65,0.37,48.8,199.4,1,Expansion,Modeled fallback
Indiana,IN,2018,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,374.28,374.69,-0.41,-0.03,48.5,212.4,1,Expansion,Modeled fallback
Iowa,IA,2018,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,382.36,386.71,-4.35,-0.35,52.3,166.3,1,Expansion,Modeled fallback
Kansas,KS,2018,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,365.23,373.45,-8.22,-0.66,49.5,150.8,0,Non-expansion,Modeled fallback
Kentucky,KY,2018,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,381.43,380.67,0.76,0.06,48,229,1,Expansion,Modeled fallback
Louisiana,LA,2018,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,357.04,365.13,-8.09,-0.65,45,182.9,1,Expansion,Modeled fallback
Maine,ME,2018,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,406.97,395.55,11.42,0.92,53.8,224.4,0,Non-expansion,Modeled fallback
Maryland,MD,2018,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,376,363.44,12.56,1.01,49.6,210.9,1,Expansion,Modeled fallback
Massachusetts,MA,2018,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,383.26,369.88,13.38,1.07,51.5,433.7,1,Expansion,Modeled fallback
Michigan,MI,2018,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,368.67,366.76,1.91,0.15,47.9,201.5,1,Expansion,Modeled fallback
Minnesota,MN,2018,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,380.77,367.21,13.56,1.09,50.8,235.4,1,Expansion,Modeled fallback
Mississippi,MS,2018,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,329.31,354.73,-25.42,-2.04,42.9,118.9,0,Non-expansion,Modeled fallback
Missouri,MO,2018,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,380.32,383.27,-2.95,-0.24,48.7,198,0,Non-expansion,Modeled fallback
Montana,MT,2018,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,399.57,389.7,9.87,0.79,50.7,259,1,Expansion,Modeled fallback
Nebraska,NE,2018,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,382.76,378.65,4.11,0.33,51,207.9,0,Non-expansion,Modeled fallback
Nevada,NV,2018,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,365.16,384.44,-19.28,-1.54,48.4,130.8,1,Expansion,Modeled fallback
New Hampshire,NH,2018,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,403.55,391.85,11.7,0.94,53.7,286.5,1,Expansion,Modeled fallback
New Jersey,NJ,2018,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,356.94,341.47,15.47,1.24,48.2,237,1,Expansion,Modeled fallback
New Mexico,NM,2018,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,367.66,384.57,-16.91,-1.35,46.9,150.1,1,Expansion,Modeled fallback
New York,NY,2018,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,369.72,355.32,14.4,1.15,49.4,251.4,1,Expansion,Modeled fallback
North Carolina,NC,2018,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,347.72,357.79,-10.07,-0.81,46.1,147.3,0,Non-expansion,Modeled fallback
North Dakota,ND,2018,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,379.5,370.53,8.97,0.72,50.8,212.1,1,Expansion,Modeled fallback
Ohio,OH,2018,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,374.91,373.32,1.59,0.13,47.1,222.8,1,Expansion,Modeled fallback
Oklahoma,OK,2018,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,357.19,371.31,-14.12,-1.13,45.7,164.4,0,Non-expansion,Modeled fallback
Oregon,OR,2018,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,410.9,406.47,4.43,0.35,52.7,225.7,1,Expansion,Modeled fallback
Pennsylvania,PA,2018,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,386,372.87,13.13,1.05,49.9,282.2,1,Expansion,Modeled fallback
Rhode Island,RI,2018,41.7,-71.5,1095962,0.4316,54,25.82,6.31,9.71,16.9,9.4,19.46,389.45,376.57,12.88,1.03,51.9,267.8,1,Expansion,Modeled fallback
South Carolina,SC,2018,34,-81.2,5373555,-3.0862,16.1,19.78,4.6,6.65,14.97,14.7,17.62,338.72,351.94,-13.22,-1.06,45,139.7,0,Non-expansion,Modeled fallback
South Dakota,SD,2018,44.3,-99.4,887770,-0.6838,42,21.83,6.72,8.12,15.79,20.7,16.94,375.11,368.77,6.34,0.51,48.6,220.6,0,Non-expansion,Modeled fallback
Tennessee,TN,2018,35.7,-86.7,7126489,1.2321,62.7,26.96,7,9.72,17.79,17.3,16.36,365.62,382.23,-16.61,-1.33,47.4,152.3,0,Non-expansion,Modeled fallback
Texas,TX,2018,31.9,-99.9,30503301,-2.6306,21,20.73,5.1,7.22,16.13,14.2,14.62,335.09,355.12,-20.03,-1.6,46.2,103.3,0,Non-expansion,Modeled fallback
Utah,UT,2018,39.3,-111.1,3417734,1.3428,63.9,26.7,8.4,9.87,16.83,21.5,12.59,393.33,383.01,10.32,0.83,53.1,225.1,0,Non-expansion,Modeled fallback
Vermont,VT,2018,44,-72.7,643077,2.9408,81.1,29.12,7.69,10.45,17.87,17.8,20.87,405.74,394.19,11.55,0.93,54.4,287.8,1,Expansion,Modeled fallback
Virginia,VA,2018,37.8,-78.2,8715698,-1.1378,37.1,23.14,5.53,8.26,17.47,13.6,15.57,379.25,365.59,13.66,1.09,49.8,311.3,0,Non-expansion,Modeled fallback
Washington,WA,2018,47.4,-121.5,7812880,1.7512,68.3,27.93,7.24,10.93,17.13,15.7,16.62,396.49,385.87,10.62,0.85,51.8,237.1,1,Expansion,Modeled fallback
West Virginia,WV,2018,38.5,-80.9,1770071,3.2603,84.6,28.11,8.01,11,20.32,18.6,17.19,384.37,396.46,-12.09,-0.97,47.9,182.6,1,Expansion,Modeled fallback
Wisconsin,WI,2018,44.3,-89.6,5910726,0.0407,49.8,24.55,6.4,8.85,16.42,15,18.84,383.48,373.84,9.64,0.77,51.2,220.3,0,Non-expansion,Modeled fallback
Wyoming,WY,2018,42.8,-107.3,576851,1.8133,68.9,24.67,7.38,9.52,18.43,26.3,17.6,375.61,386.26,-10.65,-0.85,48.3,186.5,0,Non-expansion,Modeled fallback
Alabama,AL,2019,32.8,-86.8,5108468,-0.4189,44.8,23.02,6.12,8.64,17.6,16.8,16.2,362.44,388.57,-26.13,-2.05,48.9,92.6,0,Non-expansion,Modeled fallback
Alaska,AK,2019,64.2,-152.5,733406,0.4338,54,24.04,6.67,8.63,15.28,28.2,18.33,393.56,394.83,-1.27,-0.1,48.4,213.1,1,Expansion,Modeled fallback
Arizona,AZ,2019,33.7,-111.4,7431344,0.454,54.3,24.6,6.46,9.39,16.78,19.2,17.58,391.05,395.03,-3.98,-0.31,49.2,194.9,1,Expansion,Modeled fallback
Arkansas,AR,2019,34.8,-92.4,3067732,1.5326,65.9,26.55,6.66,9.91,18.33,20.2,17.31,385.91,402.92,-17.01,-1.34,48.9,150.1,1,Expansion,Modeled fallback
California,CA,2019,36.1,-119.7,39029342,-2.6035,21.3,21.63,4.76,7.34,15.83,10.2,16.65,386.85,372.59,14.26,1.12,48.6,254.9,1,Expansion,Modeled fallback
Colorado,CO,2019,39,-105.3,5773714,2.5401,76.8,26.36,6.98,9.58,19.24,20.9,22.37,421.79,410.33,11.46,0.9,53.3,276.1,1,Expansion,Modeled fallback
Connecticut,CT,2019,41.6,-72.7,3626205,-1.0023,38.6,23.74,5.53,8.29,17.49,9.1,17.53,397.73,384.36,13.37,1.05,52,258.8,1,Expansion,Modeled fallback
Delaware,DE,2019,39.3,-75.5,990837,-1.1425,37,22.14,5.6,8.6,16.58,12.8,17.62,389.48,383.27,6.21,0.49,51.1,197.9,1,Expansion,Modeled fallback
Florida,FL,2019,27.7,-81.4,22610726,-2.4986,22.4,20.81,4.54,7.64,16.33,14.4,15.64,365.95,373.34,-7.39,-0.58,47.5,161.7,0,Non-expansion,Modeled fallback
Georgia,GA,2019,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,366.16,384.9,-18.74,-1.47,48.8,113.8,0,Non-expansion,Modeled fallback
Hawaii,HI,2019,21.1,-157.5,1435138,-3.9301,7,19.82,4.27,6.08,14.81,15.3,14.36,372.93,362.87,10.06,0.79,50.3,177.1,1,Expansion,Modeled fallback
Idaho,ID,2019,44.2,-114,1964726,0.7157,57.1,24.46,5.92,9.4,18.49,23.3,16.43,384.87,396.94,-12.07,-0.95,51,152.8,0,Non-expansion,Modeled fallback
Illinois,IL,2019,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,386.73,381.5,5.23,0.41,50,199.4,1,Expansion,Modeled fallback
Indiana,IN,2019,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,392.79,392.86,-0.07,-0.01,49.7,212.4,1,Expansion,Modeled fallback
Iowa,IA,2019,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,401.25,405.44,-4.19,-0.33,53.6,166.3,1,Expansion,Modeled fallback
Kansas,KS,2019,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,383.32,391.57,-8.25,-0.65,50.8,150.8,0,Non-expansion,Modeled fallback
Kentucky,KY,2019,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,400.28,399.11,1.17,0.09,49.2,229,1,Expansion,Modeled fallback
Louisiana,LA,2019,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,374.76,382.86,-8.1,-0.64,46.2,182.9,1,Expansion,Modeled fallback
Maine,ME,2019,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,425.81,414.69,11.12,0.87,55,224.4,1,Expansion,Modeled fallback
Maryland,MD,2019,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,394.6,381.09,13.51,1.06,50.8,210.9,1,Expansion,Modeled fallback
Massachusetts,MA,2019,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,400.99,387.83,13.16,1.03,52.8,433.7,1,Expansion,Modeled fallback
Michigan,MI,2019,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,386.92,384.56,2.36,0.19,49.2,201.5,1,Expansion,Modeled fallback
Minnesota,MN,2019,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,398.39,385.04,13.35,1.05,52,235.4,1,Expansion,Modeled fallback
Mississippi,MS,2019,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,345.74,371.98,-26.24,-2.06,44.2,118.9,0,Non-expansion,Modeled fallback
Missouri,MO,2019,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,399.11,401.83,-2.72,-0.21,50,198,0,Non-expansion,Modeled fallback
Montana,MT,2019,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,419.25,408.57,10.68,0.84,51.9,259,1,Expansion,Modeled fallback
Nebraska,NE,2019,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,401.66,397.01,4.65,0.37,52.2,207.9,0,Non-expansion,Modeled fallback
Nevada,NV,2019,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,383.25,403.06,-19.81,-1.56,49.7,130.8,1,Expansion,Modeled fallback
New Hampshire,NH,2019,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,422.22,410.81,11.41,0.9,55,286.5,1,Expansion,Modeled fallback
New Jersey,NJ,2019,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,373.46,358.11,15.35,1.21,49.4,237,1,Expansion,Modeled fallback
New Mexico,NM,2019,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,385.87,403.19,-17.32,-1.36,48.1,150.1,1,Expansion,Modeled fallback
New York,NY,2019,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,386.84,372.59,14.25,1.12,50.6,251.4,1,Expansion,Modeled fallback
North Carolina,NC,2019,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,365.01,375.18,-10.17,-0.8,47.3,147.3,0,Non-expansion,Modeled fallback
North Dakota,ND,2019,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,398.26,388.51,9.75,0.77,52,212.1,1,Expansion,Modeled fallback
Ohio,OH,2019,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,393.46,391.43,2.03,0.16,48.4,222.8,1,Expansion,Modeled fallback
Oklahoma,OK,2019,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,374.92,389.32,-14.4,-1.13,46.9,164.4,0,Non-expansion,Modeled fallback
Oregon,OR,2019,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,431.11,426.11,5,0.39,53.9,225.7,1,Expansion,Modeled fallback
Pennsylvania,PA,2019,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,403.87,390.95,12.92,1.01,51.1,282.2,1,Expansion,Modeled fallback
Rhode Island,RI,2019,41.7,-71.5,1095962,0.4316,54,25.82,6.31,9.71,16.9,9.4,19.46,407.47,394.83,12.64,0.99,53.2,267.8,1,Expansion,Modeled fallback
South Carolina,SC,2019,34,-81.2,5373555,-3.0862,16.1,19.78,4.6,6.65,14.97,14.7,17.62,355.59,369.06,-13.47,-1.06,46.2,139.7,0,Non-expansion,Modeled fallback
South Dakota,SD,2019,44.3,-99.4,887770,-0.6838,42,21.83,6.72,8.12,15.79,20.7,16.94,393.66,386.67,6.99,0.55,49.8,220.6,0,Non-expansion,Modeled fallback
Tennessee,TN,2019,35.7,-86.7,7126489,1.2321,62.7,26.96,7,9.72,17.79,17.3,16.36,383.73,400.75,-17.02,-1.34,48.6,152.3,0,Non-expansion,Modeled fallback
Texas,TX,2019,31.9,-99.9,30503301,-2.6306,21,20.73,5.1,7.22,16.13,14.2,14.62,351.79,372.39,-20.6,-1.62,47.4,103.3,0,Non-expansion,Modeled fallback
Utah,UT,2019,39.3,-111.1,3417734,1.3428,63.9,26.7,8.4,9.87,16.83,21.5,12.59,412.73,401.56,11.17,0.88,54.3,225.1,0,Non-expansion,Modeled fallback
Vermont,VT,2019,44,-72.7,643077,2.9408,81.1,29.12,7.69,10.45,17.87,17.8,20.87,424.52,413.26,11.26,0.88,55.6,287.8,1,Expansion,Modeled fallback
Virginia,VA,2019,37.8,-78.2,8715698,-1.1378,37.1,23.14,5.53,8.26,17.47,13.6,15.57,396.81,383.34,13.47,1.06,51.1,311.3,1,Expansion,Modeled fallback
Washington,WA,2019,47.4,-121.5,7812880,1.7512,68.3,27.93,7.24,10.93,17.13,15.7,16.62,416.03,404.55,11.48,0.9,53.1,237.1,1,Expansion,Modeled fallback
West Virginia,WV,2019,38.5,-80.9,1770071,3.2603,84.6,28.11,8.01,11,20.32,18.6,17.19,403.35,415.64,-12.29,-0.97,49.1,182.6,1,Expansion,Modeled fallback
Wisconsin,WI,2019,44.3,-89.6,5910726,0.0407,49.8,24.55,6.4,8.85,16.42,15,18.84,402.43,391.97,10.46,0.82,52.4,220.3,0,Non-expansion,Modeled fallback
Wyoming,WY,2019,42.8,-107.3,576851,1.8133,68.9,24.67,7.38,9.52,18.43,26.3,17.6,394.17,404.96,-10.79,-0.85,49.5,186.5,0,Non-expansion,Modeled fallback
Alabama,AL,2020,32.8,-86.8,5108468,-0.4189,44.8,23.02,6.12,8.64,17.6,16.8,16.2,379.72,406.6,-26.88,-2.08,50.1,92.6,0,Non-expansion,Modeled fallback
Alaska,AK,2020,64.2,-152.5,733406,0.4338,54,24.04,6.67,8.63,15.28,28.2,18.33,412.21,413.13,-0.92,-0.07,49.6,213.1,1,Expansion,Modeled fallback
Arizona,AZ,2020,33.7,-111.4,7431344,0.454,54.3,24.6,6.46,9.39,16.78,19.2,17.58,409.59,413.34,-3.75,-0.29,50.4,194.9,1,Expansion,Modeled fallback
Arkansas,AR,2020,34.8,-92.4,3067732,1.5326,65.9,26.55,6.66,9.91,18.33,20.2,17.31,404.22,421.58,-17.36,-1.34,50.1,150.1,1,Expansion,Modeled fallback
California,CA,2020,36.1,-119.7,39029342,-2.6035,21.3,21.63,4.76,7.34,15.83,10.2,16.65,403.96,389.91,14.05,1.09,49.9,254.9,1,Expansion,Modeled fallback
Colorado,CO,2020,39,-105.3,5773714,2.5401,76.8,26.36,6.98,9.58,19.24,20.9,22.37,440.45,429.32,11.13,0.86,54.6,276.1,1,Expansion,Modeled fallback
Connecticut,CT,2020,41.6,-72.7,3626205,-1.0023,38.6,23.74,5.53,8.29,17.49,9.1,17.53,415.32,402.2,13.12,1.02,53.2,258.8,1,Expansion,Modeled fallback
Delaware,DE,2020,39.3,-75.5,990837,-1.1425,37,22.14,5.6,8.6,16.58,12.8,17.62,407.96,401.06,6.9,0.53,52.3,197.9,1,Expansion,Modeled fallback
Florida,FL,2020,27.7,-81.4,22610726,-2.4986,22.4,20.81,4.54,7.64,16.33,14.4,15.64,383.38,390.69,-7.31,-0.57,48.8,161.7,0,Non-expansion,Modeled fallback
Georgia,GA,2020,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,383.6,402.76,-19.16,-1.48,50.1,113.8,0,Non-expansion,Modeled fallback
Hawaii,HI,2020,21.1,-157.5,1435138,-3.9301,7,19.82,4.27,6.08,14.81,15.3,14.36,390.67,379.76,10.91,0.85,51.6,177.1,1,Expansion,Modeled fallback
Idaho,ID,2020,44.2,-114,1964726,0.7157,57.1,24.46,5.92,9.4,18.49,23.3,16.43,403.14,415.33,-12.19,-0.94,52.2,152.8,1,Expansion,Modeled fallback
Illinois,IL,2020,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,405.08,399.21,5.87,0.45,51.3,199.4,1,Expansion,Modeled fallback
Indiana,IN,2020,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,411.41,411.07,0.34,0.03,51,212.4,1,Expansion,Modeled fallback
Iowa,IA,2020,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,420.25,424.21,-3.96,-0.31,54.8,166.3,1,Expansion,Modeled fallback
Kansas,KS,2020,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,401.52,409.72,-8.2,-0.64,52,150.8,0,Non-expansion,Modeled fallback
Kentucky,KY,2020,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,419.23,417.6,1.63,0.13,50.5,229,1,Expansion,Modeled fallback
Louisiana,LA,2020,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,392.58,400.63,-8.05,-0.62,47.5,182.9,1,Expansion,Modeled fallback
Maine,ME,2020,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,444.64,433.86,10.78,0.84,56.3,224.4,1,Expansion,Modeled fallback
Maryland,MD,2020,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,412.19,398.79,13.4,1.04,52.1,210.9,1,Expansion,Modeled fallback
Massachusetts,MA,2020,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,418.73,405.82,12.91,1,54,433.7,1,Expansion,Modeled fallback
Michigan,MI,2020,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,405.28,402.41,2.87,0.22,50.4,201.5,1,Expansion,Modeled fallback
Minnesota,MN,2020,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,416.01,402.91,13.1,1.01,53.3,235.4,1,Expansion,Modeled fallback
Mississippi,MS,2020,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,362.28,389.27,-26.99,-2.09,45.4,118.9,0,Non-expansion,Modeled fallback
Missouri,MO,2020,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,418.01,420.44,-2.43,-0.19,51.2,198,0,Non-expansion,Modeled fallback
Montana,MT,2020,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,438.77,427.47,11.3,0.88,53.2,259,1,Expansion,Modeled fallback
Nebraska,NE,2020,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,420.68,415.4,5.28,0.41,53.5,207.9,0,Non-expansion,Modeled fallback
