state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
Nevada,NV,2020,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,401.45,421.72,-20.27,-1.57,50.9,130.8,1,Expansion,Modeled fallback
New Hampshire,NH,2020,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,440.9,429.82,11.08,0.86,56.2,286.5,1,Expansion,Modeled fallback
New Jersey,NJ,2020,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,389.98,374.79,15.19,1.18,50.7,237,1,Expansion,Modeled fallback
New Mexico,NM,2020,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,404.18,421.86,-17.68,-1.37,49.4,150.1,1,Expansion,Modeled fallback
New York,NY,2020,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,403.95,389.91,14.04,1.09,51.9,251.4,1,Expansion,Modeled fallback
North Carolina,NC,2020,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,382.4,392.61,-10.21,-0.79,48.6,147.3,0,Non-expansion,Modeled fallback
North Dakota,ND,2020,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,417.13,406.53,10.6,0.82,53.3,212.1,1,Expansion,Modeled fallback
Ohio,OH,2020,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,412.11,409.58,2.53,0.2,49.6,222.8,1,Expansion,Modeled fallback
Oklahoma,OK,2020,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,392.75,407.38,-14.63,-1.13,48.2,164.4,0,Non-expansion,Modeled fallback
Oregon,OR,2020,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,451.42,445.79,5.63,0.44,55.2,225.7,1,Expansion,Modeled fallback
Pennsylvania,PA,2020,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,421.73,409.08,12.65,0.98,52.4,282.2,1,Expansion,Modeled fallback
Rhode Island,RI,2020,41.7,-71.5,1095962,0.4316,54,25.82,6.31,9.71,16.9,9.4,19.46,425.49,413.13,12.36,0.96,54.4,267.8,1,Expansion,Modeled fallback
South Carolina,SC,2020,34,-81.2,5373555,-3.0862,16.1,19.78,4.6,6.65,14.97,14.7,17.62,372.57,386.22,-13.65,-1.06,47.5,139.7,0,Non-expansion,Modeled fallback
South Dakota,SD,2020,44.3,-99.4,887770,-0.6838,42,21.83,6.72,8.12,15.79,20.7,16.94,412.31,404.61,7.7,0.6,51.1,220.6,0,Non-expansion,Modeled fallback
Tennessee,TN,2020,35.7,-86.7,7126489,1.2321,62.7,26.96,7,9.72,17.79,17.3,16.36,401.96,419.31,-17.35,-1.34,49.9,152.3,0,Non-expansion,Modeled fallback
Texas,TX,2020,31.9,-99.9,30503301,-2.6306,21,20.73,5.1,7.22,16.13,14.2,14.62,368.6,389.7,-21.1,-1.63,48.7,103.3,0,Non-expansion,Modeled fallback
Utah,UT,2020,39.3,-111.1,3417734,1.3428,63.9,26.7,8.4,9.87,16.83,21.5,12.59,431.96,420.16,11.8,0.91,55.6,225.1,1,Expansion,Modeled fallback
Vermont,VT,2020,44,-72.7,643077,2.9408,81.1,29.12,7.69,10.45,17.87,17.8,20.87,443.29,432.37,10.92,0.85,56.9,287.8,1,Expansion,Modeled fallback
Virginia,VA,2020,37.8,-78.2,8715698,-1.1378,37.1,23.14,5.53,8.26,17.47,13.6,15.57,414.36,401.13,13.23,1.02,52.3,311.3,1,Expansion,Modeled fallback
Washington,WA,2020,47.4,-121.5,7812880,1.7512,68.3,27.93,7.24,10.93,17.13,15.7,16.62,434.85,423.28,11.57,0.9,54.3,237.1,1,Expansion,Modeled fallback
West Virginia,WV,2020,38.5,-80.9,1770071,3.2603,84.6,28.11,8.01,11,20.32,18.6,17.19,422.44,434.86,-12.42,-0.96,50.4,182.6,1,Expansion,Modeled fallback
Wisconsin,WI,2020,44.3,-89.6,5910726,0.0407,49.8,24.55,6.4,8.85,16.42,15,18.84,421.47,410.15,11.32,0.88,53.7,220.3,0,Non-expansion,Modeled fallback
Wyoming,WY,2020,42.8,-107.3,576851,1.8133,68.9,24.67,7.38,9.52,18.43,26.3,17.6,412.86,423.71,-10.85,-0.84,50.8,186.5,0,Non-expansion,Modeled fallback
Alabama,AL,2021,32.8,-86.8,5108468,-0.4189,44.8,23.02,6.12,8.64,17.6,16.8,16.2,76.61,159.68,-83.07,-0.73,28.1,92.6,0,Non-expansion,Official URS + CMS/MHBG
Alaska,AK,2021,64.2,-152.5,733406,0.4338,54,24.04,6.67,8.63,15.28,28.2,18.33,246.33,164.65,81.68,0.72,74.2,213.1,1,Expansion,Official URS + CMS/MHBG
Arizona,AZ,2021,33.7,-111.4,7431344,0.454,54.3,24.6,6.46,9.39,16.78,19.2,17.58,13.08,164.81,-151.73,-1.33,1.7,194.9,1,Expansion,Official URS + CMS/MHBG
Arkansas,AR,2021,34.8,-92.4,3067732,1.5326,65.9,26.55,6.66,9.91,18.33,20.2,17.31,34.32,171.08,-136.76,-1.2,3.5,150.1,1,Expansion,Official URS + CMS/MHBG
California,CA,2021,36.1,-119.7,39029342,-2.6035,21.3,21.63,4.76,7.34,15.83,10.2,16.65,194.26,146.99,47.27,0.41,56.4,254.9,1,Expansion,Official URS + CMS/MHBG
Colorado,CO,2021,39,-105.3,5773714,2.5401,76.8,26.36,6.98,9.58,19.24,20.9,22.37,49.43,176.96,-127.53,-1.12,3.2,276.1,1,Expansion,Official URS + CMS/MHBG
Connecticut,CT,2021,41.6,-72.7,3626205,-1.0023,38.6,23.74,5.53,8.29,17.49,9.1,17.53,267.89,156.33,111.56,0.98,15.4,258.8,1,Expansion,Official URS + CMS/MHBG
Delaware,DE,2021,39.3,-75.5,990837,-1.1425,37,22.14,5.6,8.6,16.58,12.8,17.62,111.98,155.47,-43.49,-0.38,9.6,197.9,1,Expansion,Official URS + CMS/MHBG
Florida,FL,2021,27.7,-81.4,22610726,-2.4986,22.4,20.81,4.54,7.64,16.33,14.4,15.64,38,147.59,-109.59,-0.96,0,161.7,0,Non-expansion,Official URS + CMS/MHBG
Georgia,GA,2021,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,69.64,156.77,-87.13,-0.76,2.6,113.8,0,Non-expansion,Official URS + CMS/MHBG
Hawaii,HI,2021,21.1,-157.5,1435138,-3.9301,7,19.82,4.27,6.08,14.81,15.3,14.36,148.64,139.27,9.37,0.08,1.6,177.1,1,Expansion,Official URS + CMS/MHBG
Idaho,ID,2021,44.2,-114,1964726,0.7157,57.1,24.46,5.92,9.4,18.49,23.3,16.43,42.86,166.32,-123.46,-1.08,8.2,152.8,1,Expansion,Official URS + CMS/MHBG
Illinois,IL,2021,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,47.01,154.07,-107.06,-0.94,14.6,199.4,1,Expansion,Official URS + CMS/MHBG
Indiana,IN,2021,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,103.94,163.08,-59.14,-0.52,63.7,212.4,1,Expansion,Official URS + CMS/MHBG
Iowa,IA,2021,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,310.86,173.07,137.79,1.21,85.2,166.3,1,Expansion,Official URS + CMS/MHBG
Kansas,KS,2021,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,169.75,162.06,7.69,0.07,60.9,150.8,0,Non-expansion,Official URS + CMS/MHBG
Kentucky,KY,2021,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,45.93,168.05,-122.12,-1.07,34.9,229,1,Expansion,Official URS + CMS/MHBG
Louisiana,LA,2021,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,189.47,155.15,34.32,0.3,51.2,182.9,1,Expansion,Official URS + CMS/MHBG
Maine,ME,2021,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,254.02,180.42,73.6,0.65,65.2,224.4,1,Expansion,Official URS + CMS/MHBG
Maryland,MD,2021,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,238.99,153.74,85.25,0.75,69.5,210.9,1,Expansion,Official URS + CMS/MHBG
Massachusetts,MA,2021,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,146.63,159.09,-12.46,-0.11,0,433.7,1,Expansion,Official URS + CMS/MHBG
Michigan,MI,2021,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,423.75,156.5,267.25,2.34,51.7,201.5,1,Expansion,Official CMS/MHBG-backed
Minnesota,MN,2021,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,433.63,156.87,276.76,2.43,54.5,235.4,1,Expansion,Official CMS/MHBG-backed
Mississippi,MS,2021,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,99.59,146.51,-46.92,-0.41,40.1,118.9,0,Non-expansion,Official URS + CMS/MHBG
Missouri,MO,2021,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,118.39,170.21,-51.82,-0.45,58.5,198,0,Non-expansion,Official URS + CMS/MHBG
Montana,MT,2021,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,270.06,175.56,94.5,0.83,74.6,259,1,Expansion,Official URS + CMS/MHBG
Nebraska,NE,2021,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,103.14,166.38,-63.24,-0.55,40.8,207.9,1,Expansion,Official URS + CMS/MHBG
Nevada,NV,2021,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,35.61,171.18,-135.57,-1.19,5,130.8,1,Expansion,Official URS + CMS/MHBG
New Hampshire,NH,2021,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,216.52,177.34,39.18,0.34,76.2,286.5,1,Expansion,Official URS + CMS/MHBG
New Jersey,NJ,2021,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,193.76,135.49,58.27,0.51,53.5,237,1,Expansion,Official URS + CMS/MHBG
New Mexico,NM,2021,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,182.45,171.29,11.16,0.1,83.2,150.1,1,Expansion,Official URS + CMS/MHBG
New York,NY,2021,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,421.06,146.99,274.07,2.4,53.1,251.4,1,Expansion,Official CMS/MHBG-backed
North Carolina,NC,2021,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,123.63,149.04,-25.41,-0.22,68.9,147.3,0,Non-expansion,Official URS + CMS/MHBG
North Dakota,ND,2021,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,137.06,159.63,-22.57,-0.2,9.4,212.1,1,Expansion,Official URS + CMS/MHBG
Ohio,OH,2021,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,109.03,161.95,-52.92,-0.46,66.8,222.8,1,Expansion,Official URS + CMS/MHBG
Oklahoma,OK,2021,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,94.84,160.28,-65.44,-0.57,26.6,164.4,0,Non-expansion,Official URS + CMS/MHBG
Oregon,OR,2021,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,353.98,189.49,164.49,1.44,64.5,225.7,1,Expansion,Official URS + CMS/MHBG
Pennsylvania,PA,2021,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,363.54,161.57,201.97,1.77,77.6,282.2,1,Expansion,Official URS + CMS/MHBG
Rhode Island,RI,2021,41.7,-71.5,1095962,0.4316,54,25.82,6.31,9.71,16.9,9.4,19.46,80.6,164.65,-84.05,-0.74,92.3,267.8,1,Expansion,Official URS + CMS/MHBG
South Carolina,SC,2021,34,-81.2,5373555,-3.0862,16.1,19.78,4.6,6.65,14.97,14.7,17.62,90.46,144.18,-53.72,-0.47,26.2,139.7,0,Non-expansion,Official URS + CMS/MHBG
South Dakota,SD,2021,44.3,-99.4,887770,-0.6838,42,21.83,6.72,8.12,15.79,20.7,16.94,100.83,158.17,-57.34,-0.5,29.2,220.6,0,Non-expansion,Official URS + CMS/MHBG
Tennessee,TN,2021,35.7,-86.7,7126489,1.2321,62.7,26.96,7,9.72,17.79,17.3,16.36,122.94,169.35,-46.41,-0.41,65.3,152.3,0,Non-expansion,Official URS + CMS/MHBG
Texas,TX,2021,31.9,-99.9,30503301,-2.6306,21,20.73,5.1,7.22,16.13,14.2,14.62,39.59,146.83,-107.24,-0.94,1.9,103.3,0,Non-expansion,Official URS + CMS/MHBG
Utah,UT,2021,39.3,-111.1,3417734,1.3428,63.9,26.7,8.4,9.87,16.83,21.5,12.59,78.48,170,-91.52,-0.8,59.5,225.1,1,Expansion,Official URS + CMS/MHBG
Vermont,VT,2021,44,-72.7,643077,2.9408,81.1,29.12,7.69,10.45,17.87,17.8,20.87,398.49,179.28,219.21,1.92,93,287.8,1,Expansion,Official URS + CMS/MHBG
Virginia,VA,2021,37.8,-78.2,8715698,-1.1378,37.1,23.14,5.53,8.26,17.47,13.6,15.57,122.55,155.52,-32.97,-0.29,24.7,311.3,1,Expansion,Official URS + CMS/MHBG
Washington,WA,2021,47.4,-121.5,7812880,1.7512,68.3,27.93,7.24,10.93,17.13,15.7,16.62,223.69,172.37,51.32,0.45,65,237.1,1,Expansion,Official URS + CMS/MHBG
West Virginia,WV,2021,38.5,-80.9,1770071,3.2603,84.6,28.11,8.01,11,20.32,18.6,17.19,104.32,181.17,-76.85,-0.67,5.6,182.6,1,Expansion,Official URS + CMS/MHBG
Wisconsin,WI,2021,44.3,-89.6,5910726,0.0407,49.8,24.55,6.4,8.85,16.42,15,18.84,174.9,162.38,12.52,0.11,65.7,220.3,0,Non-expansion,Official URS + CMS/MHBG
Wyoming,WY,2021,42.8,-107.3,576851,1.8133,68.9,24.67,7.38,9.52,18.43,26.3,17.6,101.45,172.7,-71.25,-0.62,0,186.5,0,Non-expansion,Official URS + CMS/MHBG
Alabama,AL,2022,32.8,-86.8,5108468,-0.4189,44.8,23.02,6.12,8.64,17.6,16.8,16.2,123.44,151.72,-28.28,-0.26,21.8,92.6,0,Non-expansion,Official URS + CMS/MHBG
Alaska,AK,2022,64.2,-152.5,733406,0.4338,54,24.04,6.67,8.63,15.28,28.2,18.33,279.61,164.78,114.83,1.06,81,213.1,1,Expansion,Official URS + CMS/MHBG
Arizona,AZ,2022,33.7,-111.4,7431344,0.454,54.3,24.6,6.46,9.39,16.78,19.2,17.58,2.92,165.21,-162.29,-1.49,0,194.9,1,Expansion,Official URS + CMS/MHBG
Arkansas,AR,2022,34.8,-92.4,3067732,1.5326,65.9,26.55,6.66,9.91,18.33,20.2,17.31,38.59,181.68,-143.09,-1.32,0,150.1,1,Expansion,Official URS + CMS/MHBG
California,CA,2022,36.1,-119.7,39029342,-2.6035,21.3,21.63,4.76,7.34,15.83,10.2,16.65,205.6,118.35,87.25,0.8,85.4,254.9,1,Expansion,Official URS + CMS/MHBG
Colorado,CO,2022,39,-105.3,5773714,2.5401,76.8,26.36,6.98,9.58,19.24,20.9,22.37,58.77,197.16,-138.39,-1.27,57.1,276.1,1,Expansion,Official URS + CMS/MHBG
Connecticut,CT,2022,41.6,-72.7,3626205,-1.0023,38.6,23.74,5.53,8.29,17.49,9.1,17.53,287.18,142.91,144.27,1.33,55.7,258.8,1,Expansion,Official URS + CMS/MHBG
Delaware,DE,2022,39.3,-75.5,990837,-1.1425,37,22.14,5.6,8.6,16.58,12.8,17.62,161.62,140.64,20.98,0.19,27.1,197.9,1,Expansion,Official URS + CMS/MHBG
Florida,FL,2022,27.7,-81.4,22610726,-2.4986,22.4,20.81,4.54,7.64,16.33,14.4,15.64,40.44,119.91,-79.47,-0.73,0,161.7,0,Non-expansion,Official URS + CMS/MHBG
Georgia,GA,2022,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,79.31,144.05,-64.74,-0.6,4.1,113.8,0,Non-expansion,Official URS + CMS/MHBG
Hawaii,HI,2022,21.1,-157.5,1435138,-3.9301,7,19.82,4.27,6.08,14.81,15.3,14.36,147.92,98.04,49.88,0.46,1,177.1,1,Expansion,Official URS + CMS/MHBG
Idaho,ID,2022,44.2,-114,1964726,0.7157,57.1,24.46,5.92,9.4,18.49,23.3,16.43,49.65,169.18,-119.53,-1.1,2,152.8,1,Expansion,Official URS + CMS/MHBG
Illinois,IL,2022,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,67.64,136.95,-69.31,-0.64,51.6,199.4,1,Expansion,Official URS + CMS/MHBG
Indiana,IN,2022,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,106.42,160.66,-54.24,-0.5,73.3,212.4,1,Expansion,Official URS + CMS/MHBG
Iowa,IA,2022,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,348.46,186.93,161.53,1.49,89.1,166.3,1,Expansion,Official URS + CMS/MHBG
Kansas,KS,2022,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,152.35,157.96,-5.61,-0.05,73.1,150.8,0,Non-expansion,Official URS + CMS/MHBG
Kentucky,KY,2022,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,49.67,173.73,-124.06,-1.14,16.6,229,1,Expansion,Official URS + CMS/MHBG
Louisiana,LA,2022,31.2,-91.9,4657757,-1.2015,36.4,24.06,5.78,7.74,15.35,15.6,17.47,197.56,139.79,57.77,0.53,73.1,182.9,1,Expansion,Official URS + CMS/MHBG
Maine,ME,2022,45.3,-69.4,1395231,3.1315,83.2,26.68,6.28,11.47,20.31,18.5,22.38,288.61,206.24,82.37,0.76,81.5,224.4,1,Expansion,Official URS + CMS/MHBG
Maryland,MD,2022,39.1,-76.8,6177224,-1.4432,33.8,22.7,5.14,8.21,18.25,9.3,15.83,95.52,136.1,-40.58,-0.37,0,210.9,1,Expansion,Official URS + CMS/MHBG
Massachusetts,MA,2022,42.2,-71.5,7001399,-0.5213,43.7,24.89,5.88,8.79,15.95,8.6,19.91,153.6,150.15,3.45,0.03,0,433.7,1,Expansion,Official URS + CMS/MHBG
Michigan,MI,2022,43.3,-84.5,9986857,-0.9726,38.9,23.57,5.18,8.54,16.65,14.9,17.43,0.45,143.34,-142.89,-1.32,0,201.5,1,Expansion,Official URS + CMS/MHBG
Minnesota,MN,2022,45.7,-93.9,5737915,-0.905,39.6,22.55,5.76,8.41,18.07,13.8,15.64,8.53,144.33,-135.8,-1.25,0,235.4,1,Expansion,Official URS + CMS/MHBG
Mississippi,MS,2022,32.7,-89.7,2939690,-2.6817,20.4,20.45,4.76,6.83,16,15.5,16.39,99.23,117.07,-17.84,-0.16,57.6,118.9,0,Non-expansion,Official URS + CMS/MHBG
Missouri,MO,2022,38.5,-92.3,6196911,1.3874,64.3,25.67,6.58,9.04,19.17,18,19.39,121.79,179.41,-57.62,-0.53,74.9,198,1,Expansion,Official URS + CMS/MHBG
Montana,MT,2022,47,-109.6,1084225,2.3024,74.2,25.59,6.87,9.77,17.54,26.6,22.18,307.64,193.46,114.18,1.05,87.6,259,1,Expansion,Official URS + CMS/MHBG
Nebraska,NE,2022,41.5,-99.9,1961504,0.7286,57.2,24.09,6.85,10.21,18.33,14.5,15.97,120.8,169.32,-48.52,-0.45,70.6,207.9,1,Expansion,Official URS + CMS/MHBG
Nevada,NV,2022,38.3,-117.1,3194176,1.5518,66.1,24.64,6.65,8.85,18.82,20.3,21.74,41.56,181.96,-140.4,-1.29,6.5,130.8,1,Expansion,Official URS + CMS/MHBG
New Hampshire,NH,2022,43.5,-71.6,1454674,2.6033,77.5,27.7,7.55,10.36,20.27,14.6,18.12,280.01,198.15,81.86,0.75,58.7,286.5,1,Expansion,Official URS + CMS/MHBG
New Jersey,NJ,2022,40.2,-74.5,9290841,-4.5748,0,18.1,4,6.18,15.61,7.2,14.73,203.35,88.1,115.25,1.06,63.1,237,1,Expansion,Official URS + CMS/MHBG
New Mexico,NM,2022,34.8,-106.2,2117522,1.5661,66.3,23.89,6.12,9.55,19.81,22.8,19.8,175.52,182.25,-6.73,-0.06,89.2,150.1,1,Expansion,Official URS + CMS/MHBG
New York,NY,2022,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,313.11,118.35,194.76,1.79,52.2,251.4,1,Expansion,Official URS + CMS/MHBG
North Carolina,NC,2022,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,113.73,123.74,-10.01,-0.09,86.1,147.3,0,Non-expansion,Official URS + CMS/MHBG
North Dakota,ND,2022,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,149.26,151.57,-2.31,-0.02,13.6,212.1,1,Expansion,Official URS + CMS/MHBG
Ohio,OH,2022,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,387.51,157.68,229.83,2.12,95.7,222.8,1,Expansion,Official URS + CMS/MHBG
Oklahoma,OK,2022,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,105.33,153.28,-47.95,-0.44,21.8,164.4,1,Expansion,Official URS + CMS/MHBG
Oregon,OR,2022,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,379.5,230.1,149.4,1.37,77.1,225.7,1,Expansion,Official URS + CMS/MHBG
Pennsylvania,PA,2022,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,401.88,156.69,245.19,2.26,88.1,282.2,1,Expansion,Official URS + CMS/MHBG
